Date,Вирус клещевого энцефалита(кач) РНК,Вирус клещевого энцефалита(кач) РНКprob,Borrelia miyamotoi (кач) ДНК,Borrelia miyamotoi (кач) ДНКprob,Ehrlichia muris/chaffeеnsis(кач) ДНК,Ehrlichia muris/chaffeеnsis(кач) ДНКprob,Anaplasma Phagocytophillum(кач) ДНК,Anaplasma Phagocytophillum(кач) ДНКprob,Borrelia burgdorferi s.l (кач) ДНК,Borrelia burgdorferi s.l (кач) ДНКprob,region,Borrelia miyamotoi (кач) ДНКprob_1,Anaplasma Phagocytophillum(кач) ДНКprob_1,Ehrlichia muris/chaffeеnsis(кач) ДНКprob_1,Borrelia burgdorferi s.l (кач) ДНКprob_1,Вирус клещевого энцефалита(кач) РНКprob_1
2019-04-21,20,0,5,0,12,0,12,0,20,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-04-22,53,0,17,0,32,1,32,0,53,9,Челябинская обл ,0.0,0.0,0.03125,0.16981132075471697,0.0
2019-04-23,34,0,7,0,17,1,17,0,34,7,Челябинская обл ,0.0,0.0,0.058823529411764705,0.20588235294117646,0.0
2019-04-24,42,0,7,0,26,0,26,0,43,4,Челябинская обл ,0.0,0.0,0.0,0.09302325581395349,0.0
2019-04-25,37,0,11,0,25,0,25,0,37,8,Челябинская обл ,0.0,0.0,0.0,0.21621621621621623,0.0
2019-04-26,41,0,13,0,22,0,22,0,42,12,Челябинская обл ,0.0,0.0,0.0,0.2857142857142857,0.0
2019-04-27,32,0,5,0,18,0,18,0,32,7,Челябинская обл ,0.0,0.0,0.0,0.21875,0.0
2019-04-28,44,1,14,0,31,0,31,1,44,3,Челябинская обл ,0.0,0.03225806451612903,0.0,0.06818181818181818,0.022727272727272728
2019-04-29,89,0,20,0,46,2,46,1,89,15,Челябинская обл ,0.0,0.021739130434782608,0.043478260869565216,0.16853932584269662,0.0
2019-04-30,44,0,12,1,23,0,23,0,42,6,Челябинская обл ,0.08333333333333333,0.0,0.0,0.14285714285714285,0.0
2019-05-01,19,0,5,0,13,0,13,0,19,1,Челябинская обл ,0.0,0.0,0.0,0.05263157894736842,0.0
2019-05-02,33,0,6,0,17,0,17,0,33,4,Челябинская обл ,0.0,0.0,0.0,0.12121212121212122,0.0
2019-05-03,124,0,24,0,66,1,66,0,123,22,Челябинская обл ,0.0,0.0,0.015151515151515152,0.17886178861788618,0.0
2019-05-04,147,0,28,1,90,2,90,3,148,29,Челябинская обл ,0.03571428571428571,0.03333333333333333,0.022222222222222223,0.19594594594594594,0.0
2019-05-05,161,3,31,0,109,1,109,1,162,43,Челябинская обл ,0.0,0.009174311926605505,0.009174311926605505,0.2654320987654321,0.018633540372670808
2019-05-06,300,3,64,0,172,3,172,3,298,68,Челябинская обл ,0.0,0.01744186046511628,0.01744186046511628,0.22818791946308725,0.01
2019-05-07,236,1,55,3,132,1,132,0,238,61,Челябинская обл ,0.05454545454545454,0.0,0.007575757575757576,0.25630252100840334,0.00423728813559322
2019-05-08,239,1,41,3,114,2,114,0,239,44,Челябинская обл ,0.07317073170731707,0.0,0.017543859649122806,0.18410041841004185,0.0041841004184100415
2019-05-09,160,0,38,0,103,7,103,1,160,48,Челябинская обл ,0.0,0.009708737864077669,0.06796116504854369,0.3,0.0
2019-05-10,262,2,73,3,165,8,165,0,265,96,Челябинская обл ,0.0410958904109589,0.0,0.048484848484848485,0.3622641509433962,0.007633587786259542
2019-05-11,403,3,105,11,247,16,247,5,402,112,Челябинская обл ,0.10476190476190476,0.020242914979757085,0.06477732793522267,0.27860696517412936,0.007444168734491315
2019-05-12,309,2,67,4,182,3,182,2,309,81,Челябинская обл ,0.05970149253731343,0.01098901098901099,0.016483516483516484,0.2621359223300971,0.006472491909385114
2019-05-13,428,1,96,7,254,8,254,6,428,104,Челябинская обл ,0.07291666666666667,0.023622047244094488,0.031496062992125984,0.24299065420560748,0.002336448598130841
2019-05-14,257,1,44,1,147,1,147,2,259,80,Челябинская обл ,0.022727272727272728,0.013605442176870748,0.006802721088435374,0.3088803088803089,0.0038910505836575876
2019-05-15,174,1,37,0,106,2,106,2,169,29,Челябинская обл ,0.0,0.018867924528301886,0.018867924528301886,0.17159763313609466,0.005747126436781609
2019-05-16,167,0,31,2,82,3,82,2,165,46,Челябинская обл ,0.06451612903225806,0.024390243902439025,0.036585365853658534,0.2787878787878788,0.0
2019-05-17,156,0,36,3,94,1,94,0,156,28,Челябинская обл ,0.08333333333333333,0.0,0.010638297872340425,0.1794871794871795,0.0
2019-05-18,90,0,13,0,53,1,53,1,89,21,Челябинская обл ,0.0,0.018867924528301886,0.018867924528301886,0.23595505617977527,0.0
2019-05-19,83,0,25,0,51,1,51,0,83,18,Челябинская обл ,0.0,0.0,0.0196078431372549,0.21686746987951808,0.0
2019-05-20,114,1,21,0,75,3,75,0,114,29,Челябинская обл ,0.0,0.0,0.04,0.2543859649122807,0.008771929824561403
2019-05-21,63,0,16,1,34,0,34,0,63,13,Челябинская обл ,0.0625,0.0,0.0,0.20634920634920634,0.0
2019-05-22,59,2,15,0,45,2,45,0,59,14,Челябинская обл ,0.0,0.0,0.044444444444444446,0.23728813559322035,0.03389830508474576
2019-05-23,91,0,12,0,48,1,48,0,88,28,Челябинская обл ,0.0,0.0,0.020833333333333332,0.3181818181818182,0.0
2019-05-24,117,3,22,1,72,4,72,0,116,30,Челябинская обл ,0.045454545454545456,0.0,0.05555555555555555,0.25862068965517243,0.02564102564102564
2019-05-25,78,0,14,1,41,2,41,0,77,18,Челябинская обл ,0.07142857142857142,0.0,0.04878048780487805,0.23376623376623376,0.0
2019-05-26,70,1,21,1,45,1,45,0,72,24,Челябинская обл ,0.047619047619047616,0.0,0.022222222222222223,0.3333333333333333,0.014285714285714285
2019-05-27,247,3,53,5,163,5,163,6,249,75,Челябинская обл ,0.09433962264150944,0.03680981595092025,0.03067484662576687,0.30120481927710846,0.012145748987854251
2019-05-28,191,1,36,1,106,3,106,4,190,59,Челябинская обл ,0.027777777777777776,0.03773584905660377,0.02830188679245283,0.3105263157894737,0.005235602094240838
2019-05-29,177,2,36,2,115,3,115,0,177,49,Челябинская обл ,0.05555555555555555,0.0,0.02608695652173913,0.2768361581920904,0.011299435028248588
2019-05-30,238,0,44,4,161,6,161,2,237,83,Челябинская обл ,0.09090909090909091,0.012422360248447204,0.037267080745341616,0.350210970464135,0.0
2019-05-31,209,4,45,3,129,3,129,1,210,59,Челябинская обл ,0.06666666666666667,0.007751937984496124,0.023255813953488372,0.28095238095238095,0.019138755980861243
2019-06-01,203,3,32,3,110,4,110,2,203,58,Челябинская обл ,0.09375,0.01818181818181818,0.03636363636363636,0.2857142857142857,0.014778325123152709
2019-06-02,261,3,59,3,169,4,169,2,261,93,Челябинская обл ,0.05084745762711865,0.011834319526627219,0.023668639053254437,0.3563218390804598,0.011494252873563218
2019-06-03,444,1,76,2,281,11,281,5,444,157,Челябинская обл ,0.02631578947368421,0.017793594306049824,0.03914590747330961,0.3536036036036036,0.0022522522522522522
2019-06-04,237,0,52,4,147,5,147,0,240,82,Челябинская обл ,0.07692307692307693,0.0,0.034013605442176874,0.3416666666666667,0.0
2019-06-05,116,1,16,0,70,2,70,1,115,37,Челябинская обл ,0.0,0.014285714285714285,0.02857142857142857,0.3217391304347826,0.008620689655172414
2019-06-06,80,1,15,1,50,2,50,2,79,27,Челябинская обл ,0.06666666666666667,0.04,0.04,0.34177215189873417,0.0125
2019-06-07,103,0,11,0,46,2,46,0,103,29,Челябинская обл ,0.0,0.0,0.043478260869565216,0.2815533980582524,0.0
2019-06-08,110,1,18,0,68,2,68,1,109,35,Челябинская обл ,0.0,0.014705882352941176,0.029411764705882353,0.3211009174311927,0.00909090909090909
2019-06-09,190,0,36,1,116,1,116,0,190,71,Челябинская обл ,0.027777777777777776,0.0,0.008620689655172414,0.3736842105263158,0.0
2019-06-10,311,0,64,3,192,5,192,3,309,108,Челябинская обл ,0.046875,0.015625,0.026041666666666668,0.34951456310679613,0.0
2019-06-11,184,0,36,3,119,6,119,3,184,71,Челябинская обл ,0.08333333333333333,0.025210084033613446,0.05042016806722689,0.3858695652173913,0.0
2019-06-12,150,1,28,2,101,3,101,3,152,52,Челябинская обл ,0.07142857142857142,0.0297029702970297,0.0297029702970297,0.34210526315789475,0.006666666666666667
2019-06-13,250,5,40,1,149,2,149,0,247,87,Челябинская обл ,0.025,0.0,0.013422818791946308,0.3522267206477733,0.02
2019-06-14,114,1,20,2,74,4,74,1,114,33,Челябинская обл ,0.1,0.013513513513513514,0.05405405405405406,0.2894736842105263,0.008771929824561403
2019-06-15,90,1,15,0,51,1,51,0,90,32,Челябинская обл ,0.0,0.0,0.0196078431372549,0.35555555555555557,0.011111111111111112
2019-06-16,95,1,13,1,67,3,67,1,95,35,Челябинская обл ,0.07692307692307693,0.014925373134328358,0.04477611940298507,0.3684210526315789,0.010526315789473684
2019-06-17,143,1,26,1,89,5,89,1,143,53,Челябинская обл ,0.038461538461538464,0.011235955056179775,0.056179775280898875,0.3706293706293706,0.006993006993006993
2019-06-18,103,2,12,2,55,3,55,1,100,36,Челябинская обл ,0.16666666666666666,0.01818181818181818,0.05454545454545454,0.36,0.019417475728155338
2019-06-19,76,0,13,0,46,1,46,0,75,28,Челябинская обл ,0.0,0.0,0.021739130434782608,0.37333333333333335,0.0
2019-06-20,114,2,22,0,70,2,70,4,114,40,Челябинская обл ,0.0,0.05714285714285714,0.02857142857142857,0.3508771929824561,0.017543859649122806
2019-06-21,96,0,17,0,61,1,61,1,96,31,Челябинская обл ,0.0,0.01639344262295082,0.01639344262295082,0.3229166666666667,0.0
2019-06-22,94,0,18,0,62,4,62,3,94,30,Челябинская обл ,0.0,0.04838709677419355,0.06451612903225806,0.3191489361702128,0.0
2019-06-23,84,0,23,0,51,5,51,0,83,44,Челябинская обл ,0.0,0.0,0.09803921568627451,0.5301204819277109,0.0
2019-06-24,215,1,42,1,149,5,149,5,213,77,Челябинская обл ,0.023809523809523808,0.03355704697986577,0.03355704697986577,0.3615023474178404,0.004651162790697674
2019-06-25,101,1,13,1,55,3,55,0,102,42,Челябинская обл ,0.07692307692307693,0.0,0.05454545454545454,0.4117647058823529,0.009900990099009901
2019-06-26,75,1,12,0,50,2,50,0,75,31,Челябинская обл ,0.0,0.0,0.04,0.41333333333333333,0.013333333333333334
2019-06-27,82,0,19,1,56,3,56,2,82,38,Челябинская обл ,0.05263157894736842,0.03571428571428571,0.05357142857142857,0.4634146341463415,0.0
2019-06-28,71,1,14,1,45,2,45,2,72,28,Челябинская обл ,0.07142857142857142,0.044444444444444446,0.044444444444444446,0.3888888888888889,0.014084507042253521
2019-06-29,53,1,9,0,27,0,27,0,55,24,Челябинская обл ,0.0,0.0,0.0,0.43636363636363634,0.018867924528301886
2019-06-30,85,0,29,2,59,4,59,2,85,33,Челябинская обл ,0.06896551724137931,0.03389830508474576,0.06779661016949153,0.38823529411764707,0.0
2019-07-01,171,1,35,3,110,4,110,2,169,58,Челябинская обл ,0.08571428571428572,0.01818181818181818,0.03636363636363636,0.3431952662721893,0.005847953216374269
2019-07-02,93,0,25,3,67,4,67,0,93,34,Челябинская обл ,0.12,0.0,0.05970149253731343,0.3655913978494624,0.0
2019-07-03,37,0,6,0,27,0,27,1,36,13,Челябинская обл ,0.0,0.037037037037037035,0.0,0.3611111111111111,0.0
2019-07-04,50,1,8,0,33,1,33,0,50,25,Челябинская обл ,0.0,0.0,0.030303030303030304,0.5,0.02
2019-07-05,59,0,7,0,30,4,30,0,59,19,Челябинская обл ,0.0,0.0,0.13333333333333333,0.3220338983050847,0.0
2019-07-06,91,1,14,0,43,1,43,4,91,43,Челябинская обл ,0.0,0.09302325581395349,0.023255813953488372,0.4725274725274725,0.01098901098901099
2019-07-07,98,0,15,1,70,3,70,1,99,44,Челябинская обл ,0.06666666666666667,0.014285714285714285,0.04285714285714286,0.4444444444444444,0.0
2019-07-08,150,0,24,1,91,5,91,4,148,50,Челябинская обл ,0.041666666666666664,0.04395604395604396,0.054945054945054944,0.33783783783783783,0.0
2019-07-09,74,0,7,0,33,0,33,0,74,20,Челябинская обл ,0.0,0.0,0.0,0.2702702702702703,0.0
2019-07-10,58,1,12,1,34,0,34,0,58,20,Челябинская обл ,0.08333333333333333,0.0,0.0,0.3448275862068966,0.017241379310344827
2019-07-11,122,0,16,0,74,3,74,1,122,42,Челябинская обл ,0.0,0.013513513513513514,0.04054054054054054,0.3442622950819672,0.0
2019-07-12,77,1,14,1,48,1,48,1,79,36,Челябинская обл ,0.07142857142857142,0.020833333333333332,0.020833333333333332,0.45569620253164556,0.012987012987012988
2019-07-13,63,2,14,1,39,3,39,1,63,31,Челябинская обл ,0.07142857142857142,0.02564102564102564,0.07692307692307693,0.49206349206349204,0.031746031746031744
2019-07-14,55,1,8,0,38,2,38,1,55,18,Челябинская обл ,0.0,0.02631578947368421,0.05263157894736842,0.32727272727272727,0.01818181818181818
2019-07-15,99,0,21,0,59,4,59,1,98,36,Челябинская обл ,0.0,0.01694915254237288,0.06779661016949153,0.3673469387755102,0.0
2019-07-16,38,0,8,1,21,1,21,0,38,16,Челябинская обл ,0.125,0.0,0.047619047619047616,0.42105263157894735,0.0
2019-07-17,41,0,3,0,17,0,17,0,41,9,Челябинская обл ,0.0,0.0,0.0,0.21951219512195122,0.0
2019-07-18,27,1,3,0,14,0,14,0,27,10,Челябинская обл ,0.0,0.0,0.0,0.37037037037037035,0.037037037037037035
2019-07-19,35,0,10,0,24,0,24,1,35,10,Челябинская обл ,0.0,0.041666666666666664,0.0,0.2857142857142857,0.0
2019-07-20,31,0,7,0,20,1,20,0,31,6,Челябинская обл ,0.0,0.0,0.05,0.1935483870967742,0.0
2019-07-21,20,1,5,0,13,0,13,0,20,7,Челябинская обл ,0.0,0.0,0.0,0.35,0.05
2019-07-22,38,0,7,0,21,0,21,0,39,11,Челябинская обл ,0.0,0.0,0.0,0.28205128205128205,0.0
2019-07-23,21,0,5,1,11,0,11,0,21,5,Челябинская обл ,0.2,0.0,0.0,0.23809523809523808,0.0
2019-07-24,28,0,2,0,13,0,13,0,28,6,Челябинская обл ,0.0,0.0,0.0,0.21428571428571427,0.0
2019-07-25,23,0,4,0,10,0,10,0,23,5,Челябинская обл ,0.0,0.0,0.0,0.21739130434782608,0.0
2019-07-26,29,0,4,0,18,0,18,0,29,5,Челябинская обл ,0.0,0.0,0.0,0.1724137931034483,0.0
2019-07-27,26,0,3,0,15,1,15,0,26,2,Челябинская обл ,0.0,0.0,0.06666666666666667,0.07692307692307693,0.0
2019-07-28,27,0,4,0,15,0,15,0,27,4,Челябинская обл ,0.0,0.0,0.0,0.14814814814814814,0.0
2019-07-29,33,1,8,0,21,0,21,0,33,3,Челябинская обл ,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304
2019-07-30,18,0,4,0,11,0,11,0,18,1,Челябинская обл ,0.0,0.0,0.0,0.05555555555555555,0.0
2019-07-31,23,0,1,0,14,0,14,0,23,1,Челябинская обл ,0.0,0.0,0.0,0.043478260869565216,0.0
2019-08-01,25,1,4,0,11,0,11,0,25,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.04
2019-08-02,24,0,0,0,8,0,8,0,24,1,Челябинская обл ,,0.0,0.0,0.041666666666666664,0.0
2019-08-03,16,0,4,0,9,0,9,1,16,0,Челябинская обл ,0.0,0.1111111111111111,0.0,0.0,0.0
2019-08-04,9,0,3,0,7,0,7,0,9,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-08-05,38,0,10,0,22,0,22,0,38,4,Челябинская обл ,0.0,0.0,0.0,0.10526315789473684,0.0
2019-08-06,26,0,8,0,17,0,17,1,24,1,Челябинская обл ,0.0,0.058823529411764705,0.0,0.041666666666666664,0.0
2019-08-07,26,0,3,0,19,0,19,0,26,3,Челябинская обл ,0.0,0.0,0.0,0.11538461538461539,0.0
2019-08-08,25,0,4,0,12,1,12,0,25,1,Челябинская обл ,0.0,0.0,0.08333333333333333,0.04,0.0
2019-08-09,33,0,8,1,16,0,16,0,34,3,Челябинская обл ,0.125,0.0,0.0,0.08823529411764706,0.0
2019-08-10,25,0,2,0,12,0,12,0,25,2,Челябинская обл ,0.0,0.0,0.0,0.08,0.0
2019-08-11,42,0,9,0,27,0,27,0,41,4,Челябинская обл ,0.0,0.0,0.0,0.0975609756097561,0.0
2019-08-12,60,0,15,0,43,0,43,0,58,3,Челябинская обл ,0.0,0.0,0.0,0.05172413793103448,0.0
2019-08-13,46,0,7,0,26,0,26,0,45,4,Челябинская обл ,0.0,0.0,0.0,0.08888888888888889,0.0
2019-08-14,31,0,9,0,19,1,19,0,31,1,Челябинская обл ,0.0,0.0,0.05263157894736842,0.03225806451612903,0.0
2019-08-15,27,0,3,0,20,0,20,0,27,1,Челябинская обл ,0.0,0.0,0.0,0.037037037037037035,0.0
2019-08-16,43,0,9,0,25,0,25,0,44,17,Челябинская обл ,0.0,0.0,0.0,0.38636363636363635,0.0
2019-08-17,41,0,6,0,14,0,14,0,40,2,Челябинская обл ,0.0,0.0,0.0,0.05,0.0
2019-08-18,55,0,11,0,30,0,30,0,54,2,Челябинская обл ,0.0,0.0,0.0,0.037037037037037035,0.0
2019-08-19,84,0,17,0,51,0,51,1,83,4,Челябинская обл ,0.0,0.0196078431372549,0.0,0.04819277108433735,0.0
2019-08-20,51,0,7,0,24,0,24,1,50,5,Челябинская обл ,0.0,0.041666666666666664,0.0,0.1,0.0
2019-08-21,48,0,8,0,28,0,28,0,47,2,Челябинская обл ,0.0,0.0,0.0,0.0425531914893617,0.0
2019-08-22,46,0,7,0,20,0,20,0,46,4,Челябинская обл ,0.0,0.0,0.0,0.08695652173913043,0.0
2019-08-23,61,1,12,0,39,1,39,0,59,5,Челябинская обл ,0.0,0.0,0.02564102564102564,0.0847457627118644,0.01639344262295082
2019-08-24,43,0,10,0,26,0,26,0,44,2,Челябинская обл ,0.0,0.0,0.0,0.045454545454545456,0.0
2019-08-25,40,0,9,0,29,0,29,0,40,1,Челябинская обл ,0.0,0.0,0.0,0.025,0.0
2019-08-26,60,0,17,0,38,1,38,0,57,2,Челябинская обл ,0.0,0.0,0.02631578947368421,0.03508771929824561,0.0
2019-08-27,51,0,7,0,22,0,22,0,49,1,Челябинская обл ,0.0,0.0,0.0,0.02040816326530612,0.0
2019-08-28,35,0,5,0,17,0,17,0,35,1,Челябинская обл ,0.0,0.0,0.0,0.02857142857142857,0.0
2019-08-29,33,0,4,0,18,0,18,0,31,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-08-30,45,0,9,0,23,0,23,0,45,1,Челябинская обл ,0.0,0.0,0.0,0.022222222222222223,0.0
2019-08-31,12,0,3,0,6,0,6,0,12,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-01,39,0,10,0,25,0,25,0,39,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-02,29,0,6,0,11,0,11,0,29,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-03,21,0,3,0,11,0,11,0,20,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-04,21,0,1,0,9,1,9,0,21,0,Челябинская обл ,0.0,0.0,0.1111111111111111,0.0,0.0
2019-09-05,27,0,6,0,18,0,18,0,27,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-06,22,0,6,0,15,0,15,0,22,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-07,28,0,7,0,15,0,15,0,28,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-08,41,0,4,0,20,0,20,0,41,3,Челябинская обл ,0.0,0.0,0.0,0.07317073170731707,0.0
2019-09-09,79,0,18,0,44,0,44,0,78,1,Челябинская обл ,0.0,0.0,0.0,0.01282051282051282,0.0
2019-09-10,66,0,11,0,40,0,40,0,65,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-11,35,0,8,0,21,0,21,1,35,0,Челябинская обл ,0.0,0.047619047619047616,0.0,0.0,0.0
2019-09-12,47,0,9,0,33,0,33,0,47,1,Челябинская обл ,0.0,0.0,0.0,0.02127659574468085,0.0
2019-09-13,41,1,11,0,26,0,26,0,41,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.024390243902439025
2019-09-14,52,0,8,0,32,0,32,0,52,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-09-15,72,0,16,0,41,0,41,0,71,1,Челябинская обл ,0.0,0.0,0.0,0.014084507042253521,0.0
2019-09-16,135,0,17,0,65,0,65,0,133,13,Челябинская обл ,0.0,0.0,0.0,0.09774436090225563,0.0
2019-09-17,42,0,6,0,21,0,21,0,42,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
